from,to,weight,season 
Mainz,1,50,2021
Stuttgart2,42,,2021
Iwata,37,,2021
TurinU23,32,15,2021
Monaco,8,17,2021
Sandhausen,28,,2021
Istanbul,34,,2021
Paderborn,22,25,2021
Lissabon,18,,2022
Wolfsburg,17,,2021
Vejle,19,45,2021
StuttgartU19,50,,2022
Stuttgart2,44,,2021
Nuernberg,33,3,2019
London,5,30,2020
Hannover,2,40,2020
Zagreb,24,60,2018
Freiburg,15,13,2020
Hamburg,23,,2019
Truiden,3,17,2020
Kiel,16,8,2019
LondonU23,6,4,2020
Paris,14,80,2019
Bielefeld,30,,2019
Duesseldorf,11,,2020
Sandhausen,20,30,2019
Cordoba,31,17,2019
StuttgartU19,25,,2020
Wolfsburg,10,,2018
ParisSG,7,,2019
MariaEnzersdorf,9,18,2019
1,Deutschland,,
42,Deutschland,,
37,Japan,,
32,Frankreich,,
32,Komoren,,
8,Frankreich,,
8,Martinique,,
28,Ghana,,
28,Daenemark,,
34,Tuerkei,,
22,Deutschland,,
18,Portugal,,
17,Aegypten,,
17,Kanada,,
19,Daenemark,,
19,Afghanistan,,
50,Frankreich,,
50,Kamerun,,
44,Niederlande,,
44,SierraLeone,,
33,Deutschland,,
5,Griechenland,,
2,Deutschland,,
2,Usbekistan ,,
24,Kroatien,,
24,Deutschland ,,
15,Deutschland,,
23,Belgien,,
23,Kongo,,
16,Deutschland,,
6,England,,
6,Kongo,,
14,Kongo,,
30,Deutschland,,
30,Italien,,
11,Deutschland,,
20,Deutschland,,
31,Deutschland ,,
31,Argentinien ,,
25,Deutschland ,,
10,Deutschland,,
10,Benin,,
7,Frankreich,,
7,Elfenbeinkueste,,
9,Oesterreich,,
9,Serbien ,,
3,Japan ,,